Info;Data;tick
Max 52 sem;21,26;ABCB4
Subsetor;Bancos;ABCB4
Vol $ méd (2m);17.819.300;ABCB4
Valor de mercado;4.130.670.000;ABCB4
Últ balanço processado;31/03/2023;ABCB4
Valor da firma;-;ABCB4
Nro. Ações;226.090.000;ABCB4
Dia;0,33%;ABCB4
P/L;5,12;ABCB4
LPA;3,57;ABCB4
Mês;2,70%;ABCB4
P/VP;0,78;ABCB4
VPA;23,46;ABCB4
30 dias;8,33%;ABCB4
P/EBIT;;ABCB4
Marg. Bruta;;ABCB4
12 meses;27,12%;ABCB4
PSR;;ABCB4
Marg. EBIT;;ABCB4
2023;-0,83%;ABCB4
P/Ativos;;ABCB4
Marg. Líquida;0,0%;ABCB4
2022;31,86%;ABCB4
P/Cap. Giro;;ABCB4
EBIT / Ativo;0,0%;ABCB4
2021;7,65%;ABCB4
P/Ativ Circ Liq;;ABCB4
ROIC;;ABCB4
2020;-20,08%;ABCB4
Div. Yield;8,6%;ABCB4
ROE;15,2%;ABCB4
2019;26,82%;ABCB4
EV / EBITDA;;ABCB4
Liquidez Corr;;ABCB4
2018;5,64%;ABCB4
EV / EBIT;;ABCB4
Div Br/ Patrim;;ABCB4
Cres. Rec (5a);43,4%;ABCB4
Giro Ativos;;ABCB4
Ativo;53.540.400.000;ABCB4
Depósitos;0;ABCB4
Cart. de Crédito;0;ABCB4
Patrim. Líq;5.303.110.000;ABCB4
Relatorio 12 meses Lucro Líquido;807.095.000;ABCB4
Relatorio 3 meses Lucro Líquido;190.023.000;ABCB4
Relatorio 12 meses Rec Serviços;385.259.000;ABCB4
Relatorio 3 meses Rec Serviços;75.046.000;ABCB4
Relatorio 12 meses Result Int Financ;1.375.610.000;ABCB4
Relatorio 3 meses Result Int Financ;300.921.000;ABCB4
Papel;ABEV3;ABEV3
Cotação;14,63;ABEV3
Tipo;ON;ABEV3
Data últ cot;19/07/2023;ABEV3
Empresa;AMBEV S/A ON;ABEV3
Min 52 sem;12,86;ABEV3
Setor;Bebidas;ABEV3
Max 52 sem;16,03;ABEV3
Subsetor;Cervejas e Refrigerantes;ABEV3
Vol $ méd (2m);321.223.000;ABEV3
Valor de mercado;230.479.000.000;ABEV3
Últ balanço processado;31/03/2023;ABEV3
Valor da firma;221.689.000.000;ABEV3
Nro. Ações;15.753.800.000;ABEV3
Dia;0,27%;ABEV3
P/L;15,63;ABEV3
LPA;0,94;ABEV3
Mês;-3,88%;ABEV3
P/VP;2,71;ABEV3
VPA;5,40;ABEV3
30 dias;-2,92%;ABEV3
P/EBIT;14,45;ABEV3
Marg. Bruta;49,7%;ABEV3
12 meses;5,46%;ABEV3
PSR;2,82;ABEV3
Marg. EBIT;19,5%;ABEV3
2023;0,76%;ABEV3
P/Ativos;1,70;ABEV3
Marg. Líquida;18,6%;ABEV3
2022;-1,65%;ABEV3
P/Cap. Giro;908,51;ABEV3
EBIT / Ativo;11,8%;ABEV3
2021;2,39%;ABEV3
P/Ativ Circ Liq;16,88;ABEV3
ROIC;15,6%;ABEV3
2020;-14,20%;ABEV3
Div. Yield;5,2%;ABEV3
ROE;17,3%;ABEV3
2019;24,08%;ABEV3
EV / EBITDA;10,26;ABEV3
Liquidez Corr;0,99;ABEV3
2018;-26,97%;ABEV3
EV / EBIT;13,90;ABEV3
Div Br/ Patrim;0,04;ABEV3
Cres. Rec (5a);13,7%;ABEV3
Giro Ativos;0,60;ABEV3
Ativo;135.467.000.000;ABEV3
Dív. Bruta;3.789.350.000;ABEV3
Disponibilidades;12.579.400.000;ABEV3
Dív. Líquida;-8.790.020.000;ABEV3
Ativo Circulante;35.378.700.000;ABEV3
Patrim. Líq;84.999.600.000;ABEV3
Relatorio 12 meses Lucro Líquido;14.744.700.000;ABEV3
Relatorio 3 meses Lucro Líquido;3.699.580.000;ABEV3
Relatorio 12 meses EBIT;15.948.600.000;ABEV3
Relatorio 3 meses EBIT;4.436.510.000;ABEV3
Relatorio 12 meses Receita Líquida;81.801.400.000;ABEV3
Relatorio 3 meses Receita Líquida;20.531.700.000;ABEV3
Papel;AERI3;AERI3
Cotação;1,23;AERI3
Tipo;ON NM;AERI3
Data últ cot;19/07/2023;AERI3
Empresa;AERIS ON NM;AERI3
Min 52 sem;0,88;AERI3
Setor;Máquinas e Equipamentos;AERI3
Max 52 sem;3,47;AERI3
Subsetor;Máq. e Equip. Industriais;AERI3
Vol $ méd (2m);8.141.280;AERI3
Valor de mercado;942.443.000;AERI3
Últ balanço processado;31/03/2023;AERI3
Valor da firma;1.927.250.000;AERI3
Nro. Ações;766.213.000;AERI3
Dia;0,00%;AERI3
P/L;-8,11;AERI3
LPA;-0,15;AERI3
Mês;-1,60%;AERI3
P/VP;1,09;AERI3
VPA;1,13;AERI3
30 dias;-18,00%;AERI3
P/EBIT;3,68;AERI3
Marg. Bruta;13,1%;AERI3
12 meses;-52,14%;AERI3
PSR;0,34;AERI3
Marg. EBIT;9,3%;AERI3
2023;8,85%;AERI3
P/Ativos;0,29;AERI3
Marg. Líquida;4,2%;AERI3
2022;-82,69%;AERI3
P/Cap. Giro;0,94;AERI3
EBIT / Ativo;7,8%;AERI3
2021;-34,50%;AERI3
P/Ativ Circ Liq;2,79;AERI3
ROIC;12,0%;AERI3
2020;52,49%;AERI3
Div. Yield;0,0%;AERI3
ROE;13,5%;AERI3
2019;0,00%;AERI3
EV / EBITDA;6,19;AERI3
Liquidez Corr;1,93;AERI3
2018;0,00%;AERI3
EV / EBIT;7,52;AERI3
Div Br/ Patrim;2,10;AERI3
Cres. Rec (5a);17,7%;AERI3
Giro Ativos;0,84;AERI3
Ativo;3.288.870.000;AERI3
Dív. Bruta;1.813.720.000;AERI3
Disponibilidades;828.913.000;AERI3
Dív. Líquida;984.805.000;AERI3
Ativo Circulante;2.089.070.000;AERI3
Patrim. Líq;862.600.000;AERI3
Relatorio 12 meses Lucro Líquido;-116.161.000;AERI3
Relatorio 3 meses Lucro Líquido;-22.206.000;AERI3
Relatorio 12 meses EBIT;256.307.000;AERI3
Relatorio 3 meses EBIT;82.326.000;AERI3
Relatorio 12 meses Receita Líquida;2.763.740.000;AERI3
Relatorio 3 meses Receita Líquida;831.622.000;AERI3
Papel;AESB3;AESB3
Cotação;11,78;AESB3
Tipo;ON NM;AESB3
Data últ cot;19/07/2023;AESB3
Empresa;AES BRASIL ON NM;AESB3
Min 52 sem;9,08;AESB3
Setor;Energia Elétrica;AESB3
Max 52 sem;12,69;AESB3
Subsetor;Energia Elétrica;AESB3
Vol $ méd (2m);20.606.400;AESB3
Valor de mercado;7.090.700.000;AESB3
Últ balanço processado;31/03/2023;AESB3
Valor da firma;14.990.700.000;AESB3
Nro. Ações;601.927.000;AESB3
Dia;0,17%;AESB3
P/L;56,03;AESB3
LPA;0,21;AESB3
Mês;-3,36%;AESB3
P/VP;1,61;AESB3
VPA;7,31;AESB3
30 dias;-3,76%;AESB3
P/EBIT;9,48;AESB3
Marg. Bruta;33,2%;AESB3
12 meses;15,42%;AESB3
PSR;2,40;AESB3
Marg. EBIT;25,3%;AESB3
2023;21,95%;AESB3
P/Ativos;0,35;AESB3
Marg. Líquida;10,5%;AESB3
2022;-11,34%;AESB3
P/Cap. Giro;2,19;AESB3
EBIT / Ativo;3,7%;AESB3
2021;-33,48%;AESB3
P/Ativ Circ Liq;0,75;AESB3
ROIC;4,7%;AESB3
2020;0,00%;AESB3
Div. Yield;0,7%;AESB3
ROE;2,9%;AESB3
2019;0,00%;AESB3
EV / EBITDA;11,73;AESB3
Liquidez Corr;2,80;AESB3
2018;0,00%;AESB3
EV / EBIT;20,05;AESB3
Div Br/ Patrim;2,69;AESB3
Cres. Rec (5a);12,3%;AESB3
Giro Ativos;0,15;AESB3
Ativo;20.021.300.000;AESB3
Dív. Bruta;11.846.500.000;AESB3
Disponibilidades;3.946.480.000;AESB3
Dív. Líquida;7.900.040.000;AESB3
Ativo Circulante;5.033.330.000;AESB3
Patrim. Líq;4.401.580.000;AESB3
Relatorio 12 meses Lucro Líquido;126.559.000;AESB3
Relatorio 3 meses Lucro Líquido;13.934.000;AESB3
Relatorio 12 meses EBIT;747.798.000;AESB3
Relatorio 3 meses EBIT;251.081.000;AESB3
Relatorio 12 meses Receita Líquida;2.954.500.000;AESB3
Relatorio 3 meses Receita Líquida;786.263.000;AESB3
Papel;AFLT3;AFLT3
Cotação;9,51;AFLT3
Tipo;ON;AFLT3
Data últ cot;19/07/2023;AFLT3
Empresa;AFLUENTE T ON;AFLT3
Min 52 sem;8,08;AFLT3
Setor;Energia Elétrica;AFLT3
Max 52 sem;9,81;AFLT3
Subsetor;Energia Elétrica;AFLT3
Vol $ méd (2m);3.827;AFLT3
Valor de mercado;599.938.000;AFLT3
Últ balanço processado;31/03/2023;AFLT3
Valor da firma;581.050.000;AFLT3
Nro. Ações;63.085.000;AFLT3
Dia;0,00%;AFLT3
P/L;15,30;AFLT3
LPA;0,62;AFLT3
Mês;3,93%;AFLT3
P/VP;2,21;AFLT3
VPA;4,30;AFLT3
30 dias;5,20%;AFLT3
P/EBIT;14,95;AFLT3
Marg. Bruta;59,7%;AFLT3
12 meses;15,71%;AFLT3
PSR;7,49;AFLT3
Marg. EBIT;50,1%;AFLT3
2023;9,84%;AFLT3
P/Ativos;1,95;AFLT3
Marg. Líquida;49,0%;AFLT3
2022;7,13%;AFLT3
P/Cap. Giro;10,31;AFLT3
EBIT / Ativo;13,0%;AFLT3
2021;-3,58%;AFLT3
P/Ativ Circ Liq;15,54;AFLT3
ROIC;14,0%;AFLT3
2020;-4,46%;AFLT3
Div. Yield;6,2%;AFLT3
ROE;14,5%;AFLT3
2019;101,45%;AFLT3
EV / EBITDA;14,41;AFLT3
Liquidez Corr;4,34;AFLT3
2018;14,82%;AFLT3
EV / EBIT;14,48;AFLT3
Div Br/ Patrim;0,00;AFLT3
Cres. Rec (5a);31,5%;AFLT3
Giro Ativos;0,26;AFLT3
Ativo;308.210.000;AFLT3
Dív. Bruta;286.000;AFLT3
Disponibilidades;19.174.000;AFLT3
Dív. Líquida;-18.888.000;AFLT3
Ativo Circulante;75.644.000;AFLT3
Patrim. Líq;271.165.000;AFLT3
Relatorio 12 meses Lucro Líquido;39.219.000;AFLT3
Relatorio 3 meses Lucro Líquido;10.433.000;AFLT3
Relatorio 12 meses EBIT;40.141.000;AFLT3
Relatorio 3 meses EBIT;10.820.000;AFLT3
Relatorio 12 meses Receita Líquida;80.110.000;AFLT3
Relatorio 3 meses Receita Líquida;22.286.000;AFLT3
Papel;AGRO3;AGRO3
Cotação;25,10;AGRO3
Tipo;ON NM;AGRO3
Data últ cot;19/07/2023;AGRO3
Empresa;BRASILAGRO ON NM;AGRO3
Min 52 sem;20,88;AGRO3
Setor;Agropecuária;AGRO3
Max 52 sem;31,35;AGRO3
Subsetor;Agricultura;AGRO3
Vol $ méd (2m);12.131.800;AGRO3
Valor de mercado;2.569.660.000;AGRO3
Últ balanço processado;31/03/2023;AGRO3
Valor da firma;3.227.940.000;AGRO3
Nro. Ações;102.377.000;AGRO3
Dia;0,84%;AGRO3
P/L;65,21;AGRO3
LPA;0,38;AGRO3
Mês;3,98%;AGRO3
P/VP;1,26;AGRO3
VPA;19,91;AGRO3
30 dias;4,80%;AGRO3
P/EBIT;61,29;AGRO3
Marg. Bruta;13,1%;AGRO3
12 meses;20,56%;AGRO3
PSR;2,26;AGRO3
Marg. EBIT;3,7%;AGRO3
2023;-16,22%;AGRO3
P/Ativos;0,77;AGRO3
Marg. Líquida;3,5%;AGRO3
2022;22,82%;AGRO3
P/Cap. Giro;3,39;AGRO3
EBIT / Ativo;1,3%;AGRO3
2021;26,67%;AGRO3
P/Ativ Circ Liq;38,63;AGRO3
ROIC;1,4%;AGRO3
2020;35,75%;AGRO3
Div. Yield;12,9%;AGRO3
ROE;1,9%;AGRO3
2019;28,51%;AGRO3
EV / EBITDA;25,92;AGRO3
Liquidez Corr;2,25;AGRO3
2018;30,17%;AGRO3
EV / EBIT;77,00;AGRO3
Div Br/ Patrim;0,45;AGRO3
Cres. Rec (5a);29,9%;AGRO3
Giro Ativos;0,34;AGRO3
Ativo;3.332.820.000;AGRO3
Dív. Bruta;909.640.000;AGRO3
Disponibilidades;251.358.000;AGRO3
Dív. Líquida;658.282.000;AGRO3
Ativo Circulante;1.361.360.000;AGRO3
Patrim. Líq;2.037.980.000;AGRO3
Relatorio 12 meses Lucro Líquido;39.409.000;AGRO3
Relatorio 3 meses Lucro Líquido;-3.293.000;AGRO3
Relatorio 12 meses EBIT;41.923.000;AGRO3
Relatorio 3 meses EBIT;45.629.000;AGRO3
Relatorio 12 meses Receita Líquida;1.138.210.000;AGRO3
Relatorio 3 meses Receita Líquida;249.197.000;AGRO3
Papel;AGXY3;AGXY3
Cotação;5,42;AGXY3
Tipo;ON NM;AGXY3
Data últ cot;19/07/2023;AGXY3
Empresa;AGROGALAXY ON NM;AGXY3
Min 52 sem;5,42;AGXY3
Setor;Agropecuária;AGXY3
Max 52 sem;9,91;AGXY3
Subsetor;Agricultura;AGXY3
Vol $ méd (2m);599.688;AGXY3
Valor de mercado;925.871.000;AGXY3
Últ balanço processado;31/03/2023;AGXY3
Valor da firma;2.140.140.000;AGXY3
Nro. Ações;170.825.000;AGXY3
Dia;3,39%;AGXY3
P/L;21,00;AGXY3
LPA;0,26;AGXY3
Mês;-9,52%;AGXY3
P/VP;0,64;AGXY3
VPA;8,45;AGXY3
30 dias;-11,15%;AGXY3
P/EBIT;1,51;AGXY3
Marg. Bruta;13,6%;AGXY3
12 meses;-29,57%;AGXY3
PSR;0,08;AGXY3
Marg. EBIT;5,5%;AGXY3
2023;-44,72%;AGXY3
P/Ativos;0,08;AGXY3
Marg. Líquida;0,5%;AGXY3
2022;-5,97%;AGXY3
P/Cap. Giro;1,06;AGXY3
EBIT / Ativo;5,5%;AGXY3
2021;0,19%;AGXY3
P/Ativ Circ Liq;3,46;AGXY3
ROIC;15,1%;AGXY3
2020;0,00%;AGXY3
Div. Yield;0,7%;AGXY3
ROE;3,1%;AGXY3
2019;0,00%;AGXY3
EV / EBITDA;2,93;AGXY3
Liquidez Corr;1,10;AGXY3
2018;0,00%;AGXY3
EV / EBIT;3,49;AGXY3
Div Br/ Patrim;1,40;AGXY3
Cres. Rec (5a);78,0%;AGXY3
Giro Ativos;1,01;AGXY3
Ativo;11.105.500.000;AGXY3
Dív. Bruta;2.013.470.000;AGXY3
Disponibilidades;799.199.000;AGXY3
Dív. Líquida;1.214.270.000;AGXY3
Ativo Circulante;9.371.370.000;AGXY3
Patrim. Líq;1.442.660.000;AGXY3
Relatorio 12 meses Lucro Líquido;44.087.000;AGXY3
Relatorio 3 meses Lucro Líquido;-43.605.000;AGXY3
Relatorio 12 meses EBIT;613.614.000;AGXY3
Relatorio 3 meses EBIT;172.161.000;AGXY3
Relatorio 12 meses Receita Líquida;11.232.500.000;AGXY3
Relatorio 3 meses Receita Líquida;2.785.290.000;AGXY3
Papel;AALR3;AALR3
Cotação;24,13;AALR3
Tipo;ON NM;AALR3
Data últ cot;19/07/2023;AALR3
Empresa;ALLIAR ON NM;AALR3
Min 52 sem;19,45;AALR3
Setor;Serv.Méd.Hospit. Análises e Diagnósticos;AALR3
Max 52 sem;24,14;AALR3
Subsetor;Serv.Méd.Hospit. Análises e Diagnósticos;AALR3
Vol $ méd (2m);8.310.170;AALR3
Valor de mercado;2.854.410.000;AALR3
Últ balanço processado;31/03/2023;AALR3
Valor da firma;3.714.640.000;AALR3
Nro. Ações;118.293.000;AALR3
Dia;0,00%;AALR3
P/L;-11,54;AALR3
LPA;-2,09;AALR3
Mês;2,03%;AALR3
P/VP;3,15;AALR3
VPA;7,67;AALR3
30 dias;3,83%;AALR3
P/EBIT;2.378,68;AALR3
Marg. Bruta;30,8%;AALR3
12 meses;23,43%;AALR3
PSR;2,60;AALR3
Marg. EBIT;0,1%;AALR3
2023;11,71%;AALR3
P/Ativos;1,11;AALR3
Marg. Líquida;21,7%;AALR3
2022;44,29%;AALR3
P/Cap. Giro;11,42;AALR3
EBIT / Ativo;0,0%;AALR3
2021;34,86%;AALR3
P/Ativ Circ Liq;2,38;AALR3
ROIC;0,1%;AALR3
2020;-38,03%;AALR3
Div. Yield;0,0%;AALR3
ROE;27,3%;AALR3
2019;37,16%;AALR3
EV / EBITDA;32,06;AALR3
Liquidez Corr;0,63;AALR3
2018;-10,60%;AALR3
EV / EBIT;3.095,53;AALR3
Div Br/ Patrim;1,12;AALR3
Cres. Rec (5a);1,2%;AALR3
Giro Ativos;0,43;AALR3
Ativo;2.571.690.000;AALR3
Dív. Bruta;1.014.840.000;AALR3
Disponibilidades;154.614.000;AALR3
Dív. Líquida;860.225.000;AALR3
Ativo Circulante;433.144.000;AALR3
Patrim. Líq;906.947.000;AALR3
Relatorio 12 meses Lucro Líquido;-247.442.000;AALR3
Relatorio 3 meses Lucro Líquido;-36.179.000;AALR3
Relatorio 12 meses EBIT;-1.200.000;AALR3
Relatorio 3 meses EBIT;22.223.000;AALR3
Relatorio 12 meses Receita Líquida;1.099.500.000;AALR3
Relatorio 3 meses Receita Líquida;289.650.000;AALR3
Papel;ABCB4;ABCB4
Cotação;18,27;ABCB4
Tipo;PN N2;ABCB4
Data últ cot;19/07/2023;ABCB4
Empresa;ABC Brasil PN N2;ABCB4
Min 52 sem;15,11;ABCB4
Setor;Intermediários Financeiros;ABCB4
Max 52 sem;21,26;ABCB4
Subsetor;Bancos;ABCB4
Vol $ méd (2m);17.819.300;ABCB4
Valor de mercado;4.130.670.000;ABCB4
Últ balanço processado;31/03/2023;ABCB4
Valor da firma;-;ABCB4
Nro. Ações;226.090.000;ABCB4
Dia;0,33%;ABCB4
P/L;5,12;ABCB4
LPA;3,57;ABCB4
Mês;2,70%;ABCB4
P/VP;0,78;ABCB4
VPA;23,46;ABCB4
30 dias;8,33%;ABCB4
P/EBIT;;ABCB4
Marg. Bruta;;ABCB4
12 meses;27,12%;ABCB4
PSR;;ABCB4
Marg. EBIT;;ABCB4
2023;-0,83%;ABCB4
P/Ativos;;ABCB4
Marg. Líquida;0,0%;ABCB4
2022;31,86%;ABCB4
P/Cap. Giro;;ABCB4
EBIT / Ativo;0,0%;ABCB4
2021;7,65%;ABCB4
P/Ativ Circ Liq;;ABCB4
ROIC;;ABCB4
2020;-20,08%;ABCB4
Div. Yield;8,6%;ABCB4
ROE;15,2%;ABCB4
2019;26,82%;ABCB4
EV / EBITDA;;ABCB4
Liquidez Corr;;ABCB4
2018;5,64%;ABCB4
EV / EBIT;;ABCB4
Div Br/ Patrim;;ABCB4
Cres. Rec (5a);43,4%;ABCB4
Giro Ativos;;ABCB4
Ativo;53.540.400.000;ABCB4
Depósitos;0;ABCB4
Cart. de Crédito;0;ABCB4
Patrim. Líq;5.303.110.000;ABCB4
Relatorio 12 meses Lucro Líquido;807.095.000;ABCB4
Relatorio 3 meses Lucro Líquido;190.023.000;ABCB4
Relatorio 12 meses Rec Serviços;385.259.000;ABCB4
Relatorio 3 meses Rec Serviços;75.046.000;ABCB4
Relatorio 12 meses Result Int Financ;1.375.610.000;ABCB4
Relatorio 3 meses Result Int Financ;300.921.000;ABCB4
Papel;ABEV3;ABEV3
Cotação;14,63;ABEV3
Tipo;ON;ABEV3
Data últ cot;19/07/2023;ABEV3
Empresa;AMBEV S/A ON;ABEV3
Min 52 sem;12,86;ABEV3
Setor;Bebidas;ABEV3
Max 52 sem;16,03;ABEV3
Subsetor;Cervejas e Refrigerantes;ABEV3
Vol $ méd (2m);321.223.000;ABEV3
Valor de mercado;230.479.000.000;ABEV3
Últ balanço processado;31/03/2023;ABEV3
Valor da firma;221.689.000.000;ABEV3
Nro. Ações;15.753.800.000;ABEV3
Dia;0,27%;ABEV3
P/L;15,63;ABEV3
LPA;0,94;ABEV3
Mês;-3,88%;ABEV3
P/VP;2,71;ABEV3
VPA;5,40;ABEV3
30 dias;-2,92%;ABEV3
P/EBIT;14,45;ABEV3
Marg. Bruta;49,7%;ABEV3
12 meses;5,46%;ABEV3
PSR;2,82;ABEV3
Marg. EBIT;19,5%;ABEV3
2023;0,76%;ABEV3
P/Ativos;1,70;ABEV3
Marg. Líquida;18,6%;ABEV3
2022;-1,65%;ABEV3
P/Cap. Giro;908,51;ABEV3
EBIT / Ativo;11,8%;ABEV3
2021;2,39%;ABEV3
P/Ativ Circ Liq;16,88;ABEV3
ROIC;15,6%;ABEV3
2020;-14,20%;ABEV3
Div. Yield;5,2%;ABEV3
ROE;17,3%;ABEV3
2019;24,08%;ABEV3
EV / EBITDA;10,26;ABEV3
Liquidez Corr;0,99;ABEV3
2018;-26,97%;ABEV3
EV / EBIT;13,90;ABEV3
Div Br/ Patrim;0,04;ABEV3
Cres. Rec (5a);13,7%;ABEV3
Giro Ativos;0,60;ABEV3
Ativo;135.467.000.000;ABEV3
Dív. Bruta;3.789.350.000;ABEV3
Disponibilidades;12.579.400.000;ABEV3
Dív. Líquida;-8.790.020.000;ABEV3
Ativo Circulante;35.378.700.000;ABEV3
Patrim. Líq;84.999.600.000;ABEV3
Relatorio 12 meses Lucro Líquido;14.744.700.000;ABEV3
Relatorio 3 meses Lucro Líquido;3.699.580.000;ABEV3
Relatorio 12 meses EBIT;15.948.600.000;ABEV3
Relatorio 3 meses EBIT;4.436.510.000;ABEV3
Relatorio 12 meses Receita Líquida;81.801.400.000;ABEV3
Relatorio 3 meses Receita Líquida;20.531.700.000;ABEV3
Papel;AERI3;AERI3
Cotação;1,23;AERI3
Tipo;ON NM;AERI3
Data últ cot;19/07/2023;AERI3
Empresa;AERIS ON NM;AERI3
Min 52 sem;0,88;AERI3
Setor;Máquinas e Equipamentos;AERI3
Max 52 sem;3,47;AERI3
Subsetor;Máq. e Equip. Industriais;AERI3
Vol $ méd (2m);8.141.280;AERI3
Valor de mercado;942.443.000;AERI3
Últ balanço processado;31/03/2023;AERI3
Valor da firma;1.927.250.000;AERI3
Nro. Ações;766.213.000;AERI3
Dia;0,00%;AERI3
P/L;-8,11;AERI3
LPA;-0,15;AERI3
Mês;-1,60%;AERI3
P/VP;1,09;AERI3
VPA;1,13;AERI3
30 dias;-18,00%;AERI3
P/EBIT;3,68;AERI3
Marg. Bruta;13,1%;AERI3
12 meses;-52,14%;AERI3
PSR;0,34;AERI3
Marg. EBIT;9,3%;AERI3
2023;8,85%;AERI3
P/Ativos;0,29;AERI3
Marg. Líquida;4,2%;AERI3
2022;-82,69%;AERI3
P/Cap. Giro;0,94;AERI3
EBIT / Ativo;7,8%;AERI3
2021;-34,50%;AERI3
P/Ativ Circ Liq;2,79;AERI3
ROIC;12,0%;AERI3
2020;52,49%;AERI3
Div. Yield;0,0%;AERI3
ROE;13,5%;AERI3
2019;0,00%;AERI3
EV / EBITDA;6,19;AERI3
Liquidez Corr;1,93;AERI3
2018;0,00%;AERI3
EV / EBIT;7,52;AERI3
Div Br/ Patrim;2,10;AERI3
Cres. Rec (5a);17,7%;AERI3
Giro Ativos;0,84;AERI3
Ativo;3.288.870.000;AERI3
Dív. Bruta;1.813.720.000;AERI3
Disponibilidades;828.913.000;AERI3
Dív. Líquida;984.805.000;AERI3
Ativo Circulante;2.089.070.000;AERI3
Patrim. Líq;862.600.000;AERI3
Relatorio 12 meses Lucro Líquido;-116.161.000;AERI3
Relatorio 3 meses Lucro Líquido;-22.206.000;AERI3
Relatorio 12 meses EBIT;256.307.000;AERI3
Relatorio 3 meses EBIT;82.326.000;AERI3
Relatorio 12 meses Receita Líquida;2.763.740.000;AERI3
Relatorio 3 meses Receita Líquida;831.622.000;AERI3
Papel;AESB3;AESB3
Cotação;11,78;AESB3
Tipo;ON NM;AESB3
Data últ cot;19/07/2023;AESB3
Empresa;AES BRASIL ON NM;AESB3
Min 52 sem;9,08;AESB3
Setor;Energia Elétrica;AESB3
Max 52 sem;12,69;AESB3
Subsetor;Energia Elétrica;AESB3
Vol $ méd (2m);20.606.400;AESB3
Valor de mercado;7.090.700.000;AESB3
Últ balanço processado;31/03/2023;AESB3
Valor da firma;14.990.700.000;AESB3
Nro. Ações;601.927.000;AESB3
Dia;0,17%;AESB3
P/L;56,03;AESB3
LPA;0,21;AESB3
Mês;-3,36%;AESB3
P/VP;1,61;AESB3
VPA;7,31;AESB3
30 dias;-3,76%;AESB3
P/EBIT;9,48;AESB3
Marg. Bruta;33,2%;AESB3
12 meses;15,42%;AESB3
PSR;2,40;AESB3
Marg. EBIT;25,3%;AESB3
2023;21,95%;AESB3
P/Ativos;0,35;AESB3
Marg. Líquida;10,5%;AESB3
2022;-11,34%;AESB3
P/Cap. Giro;2,19;AESB3
EBIT / Ativo;3,7%;AESB3
2021;-33,48%;AESB3
P/Ativ Circ Liq;0,75;AESB3
ROIC;4,7%;AESB3
2020;0,00%;AESB3
Div. Yield;0,7%;AESB3
ROE;2,9%;AESB3
2019;0,00%;AESB3
EV / EBITDA;11,73;AESB3
Liquidez Corr;2,80;AESB3
2018;0,00%;AESB3
EV / EBIT;20,05;AESB3
Div Br/ Patrim;2,69;AESB3
Cres. Rec (5a);12,3%;AESB3
Giro Ativos;0,15;AESB3
Ativo;20.021.300.000;AESB3
Dív. Bruta;11.846.500.000;AESB3
Disponibilidades;3.946.480.000;AESB3
Dív. Líquida;7.900.040.000;AESB3
Ativo Circulante;5.033.330.000;AESB3
